證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
3054,8001,9,156019,19.9,19.9,19.35,19.55,0.0,19.35,2,19.4,1,102.89
3055,20885,80,546439,26.2,26.25,25.95,26.25,0.05,25.8,2,26.25,7,0.0
3056,1058913,570,30224252,28.5,29.3,28.1,28.65,0.15,28.65,1,28.7,15,0.0
3057,70696,114,859246,12.3,12.3,12.05,12.2,0.0,12.05,9,12.15,10,55.45
3058,557406,226,6173057,11.4,11.4,10.9,10.9,0.4,10.9,16,10.95,1,0.0
3059,2659345,1618,93425054,35.1,35.7,34.65,34.75,0.5,34.75,8,34.8,30,29.96
3060,148676,251,2739751,18.5,18.8,18.3,18.3,0.5,18.3,13,18.35,2,11.58
3062,21323196,9498,640685398,30.4,31.1,28.85,29.0,1.35,29.0,116,29.05,8,0.0
3090,162096,196,7531228,46.15,46.95,46.15,46.35,0.45,46.25,3,46.35,4,9.38
3092,260982,222,10552862,40.7,41.55,40.2,40.2,0.6,40.15,4,40.25,4,2010.0
3094,311153,207,8154740,26.1,26.55,25.95,26.1,0.15,26.1,1,26.25,1,29.33
3130,10202,91,1923244,188.5,188.5,188.0,188.5,2.5,188.5,1,189.0,2,14.4
3138,253529,303,30685755,122.5,124.5,118.5,120.5,3.0,119.5,4,120.5,2,19.44
3149,396313,236,6560095,16.5,16.85,16.4,16.45,0.35,16.45,5,16.5,19,0.0
3164,108487,79,2706857,25.15,25.85,24.7,24.75,0.3,24.7,26,24.85,1,20.12
3167,171050,151,8494227,50.5,50.5,49.2,49.35,1.25,49.35,3,49.4,1,8.78
3189,23463820,16627,2945455872,129.5,130.0,122.5,124.0,6.0,124.0,58,124.5,153,8.77
3209,850901,592,29229105,35.0,35.0,34.1,34.3,0.3,34.3,1,34.35,5,7.62
3229,81497,69,1873142,23.1,23.1,22.9,23.0,0.05,22.95,4,23.0,1,0.0
3231,9194583,4785,244632711,26.3,26.85,26.1,26.85,0.45,26.8,12,26.85,253,8.04
3257,30411,35,1506461,49.8,49.8,49.0,49.75,0.05,49.6,5,49.9,1,11.99
3266,117000,19,1391800,11.9,11.9,11.8,11.8,0.1,11.8,9,11.9,15,12.29
3296,316109,220,4650220,14.95,15.0,14.4,14.7,0.15,14.7,7,14.8,7,0.0
3305,699590,464,36344436,52.6,52.8,51.4,51.7,0.7,51.7,13,51.9,3,7.77
